,B4-5 mm,,,,,,,C4-5mm,,,,
,,,,Resistance,,,,,,,,
1,2022-09-07 13:51:46,RES,2,0.301,MΩ,,1,2022-09-07 14:01:35,RES,2,0.295,MΩ
2,2022-09-07 13:51:47,RES,2,0.3004,MΩ,,2,2022-09-07 14:01:36,RES,2,0.2957,MΩ
3,2022-09-07 13:51:48,RES,2,0.3007,MΩ,,3,2022-09-07 14:01:37,RES,2,0.2952,MΩ
4,2022-09-07 13:51:49,RES,2,0.3008,MΩ,,4,2022-09-07 14:01:38,RES,2,0.2953,MΩ
5,2022-09-07 13:51:50,RES,2,0.3007,MΩ,,5,2022-09-07 14:01:38,RES,2,0.2973,MΩ
6,2022-09-07 13:51:51,RES,2,0.3002,MΩ,,6,2022-09-07 14:01:40,RES,2,0.293,MΩ
7,2022-09-07 13:51:52,RES,2,0.3002,MΩ,,7,2022-09-07 14:01:40,RES,2,0.2946,MΩ
8,2022-09-07 13:51:53,RES,2,0.3004,MΩ,,8,2022-09-07 14:01:42,RES,2,0.2943,MΩ
9,2022-09-07 13:51:54,RES,2,0.3005,MΩ,,9,2022-09-07 14:01:43,RES,2,0.2949,MΩ
10,2022-09-07 13:51:55,RES,2,0.3005,MΩ,,10,2022-09-07 14:01:44,RES,2,0.2947,MΩ
11,2022-09-07 13:51:56,RES,2,0.3083,MΩ,,11,2022-09-07 14:01:45,RES,2,0.2973,MΩ
12,2022-09-07 13:51:57,RES,2,0.303,MΩ,,12,2022-09-07 14:01:46,RES,2,0.2964,MΩ
13,2022-09-07 13:51:58,RES,2,0.3024,MΩ,,13,2022-09-07 14:01:47,RES,2,0.3015,MΩ
14,2022-09-07 13:51:59,RES,2,0.3019,MΩ,,14,2022-09-07 14:01:47,RES,2,0.2974,MΩ
15,2022-09-07 13:52:00,RES,2,0.3017,MΩ,,15,2022-09-07 14:01:49,RES,2,0.2942,MΩ
16,2022-09-07 13:52:01,RES,2,0.3016,MΩ,,16,2022-09-07 14:01:50,RES,2,0.2942,MΩ
17,2022-09-07 13:52:02,RES,2,0.301,MΩ,,17,2022-09-07 14:01:51,RES,2,0.2926,MΩ
18,2022-09-07 13:52:03,RES,2,0.3006,MΩ,,18,2022-09-07 14:01:52,RES,2,0.2921,MΩ
19,2022-09-07 13:52:04,RES,2,0.3002,MΩ,,19,2022-09-07 14:01:53,RES,2,0.292,MΩ
20,2022-09-07 13:52:05,RES,2,0.3003,MΩ,,20,2022-09-07 14:01:54,RES,2,0.2916,MΩ
21,2022-09-07 13:52:06,RES,2,0.2999,MΩ,,21,2022-09-07 14:01:54,RES,2,0.2927,MΩ
